Entity	Description	TYPES	TYPES	TYPES	TYPES	BELONGS TO	USED FOR	USED FOR	USED FOR	USED FOR	USED FOR	USED FOR	USED AS	USED AS	RELATED TO	RELATED TO	RELATED TO	RELATED TO	INVOLVED IN	INVOLVED IN	INVOLVED IN	INVOLVED IN	INVOLVED IN	ALSO KNOWN AS	CAUSED BY	CAUSED BY	CAUSED BY	CAUSED BY	CAN CAUSE	CAN CAUSE	CAN CAUSE	CAN CAUSE	CAN CAUSE	CAN CAUSE	FOUND IN	FOUND IN	FOUND IN	FOUND IN	FOUND IN	FOUND IN	BRAND NAME	BRAND NAME	BRAND NAME	BRAND NAME	SYMPTOM OF	SYMPTOM OF	ORIGINATED FROM	ORIGINATED FROM	NATURAL HABITAT	NATURAL HABITAT	PRECURSOR TO	CONTAINS	CONTAINS	CONTAINS	CONTAINS
Unique	One of a kind; unlike anything or anyone else.																																																						
Upright row	The upright row is a weight training exercise performed by holding a weight in each hand and lifting the weights to your collarbone.																																																						
Upset stomach	Upset stomach is a general term for a group of symptoms in which the stomach and intestines are uncomfortable. These symptoms can include bloating, belching, nausea, vomiting, abdominal pain, and diarrhea.																																																						
Urinary tract infections	A urinary tract infection (UTI) is an infection that affects part of the urinary tract. When it affects the lower urinary tract it is known as a bladder infection (cystitis) and when it affects the upper urinary tract it is known as kidney infection (pyelonephritis). Symptoms from a lower urinary tract infection include pain with urination, frequent urination, and feeling the need to urinate even when the bladder is empty. Symptoms of a kidney infection include fever, back pain, and nausea.																																																						
Urine	Urine is a liquid waste product that is excreted from the body by the kidneys. It is composed of water, urea, and other waste products.																																																						
Usage	The definition of usage is the way in which a word or phrase is normally and correctly used.																																																						
Uterine cancer	Uterine cancer is a type of cancer that starts in the uterus. The uterus is the place where a baby grows when a woman is pregnant. Uterine cancer is also called endometrial cancer.	Health condition																																																					
UVB rays	UVB rays are a type of ultraviolet radiation that comes from the sun. They are the main cause of sunburn and can also lead to skin cancer.																																																						
Vaccines	A vaccine is a biological preparation that provides active acquired immunity to a particular disease. A vaccine typically contains an agent that resembles a disease-causing microorganism and is often made from weakened or killed forms of the microbe, its toxins, or one of its surface proteins.																																																						
Vagal-adrenal reflex	The vagal-adrenal reflex is a reflex that is mediated by the vagus nerve and results in the release of adrenal hormones. This reflex is important in the regulation of the body's stress response.																																																						
Vaginal atrophy	Vaginal atrophy is a medical condition that can occur when the tissues of the vagina become thin and dry. This can happen when the levels of the hormone estrogen decrease. Estrogen is important for keeping the vaginal tissues healthy.	Health condition																																																					
Vaginal birth	The delivery of a baby through the birth canal.																																																						
Vaginal dryness	Vaginal dryness is a condition in which the tissues of the vagina are not well lubricated. This can cause discomfort, pain, and itching.	Symptom																																																					
Vaginal infections	Vaginal infections are infections of the vagina that can be caused by various bacteria, fungi, or parasites.																																																						
Vaginal inflammation	Vaginal inflammation is a condition in which the tissues of the vagina become swollen and irritated. The most common symptoms of vaginal inflammation include itching, burning, and pain.	Health condition																																																					
Vaginal yeast infections	A vaginal yeast infection is a fungal infection that causes irritation, discharge and intense itchiness of the vagina and the vulva — the tissues at the vaginal opening.																																																						
Vagus nerve	The vagus nerve is a long cranial nerve that extends from the brainstem to the abdomen. It is responsible for many functions including heart rate, digestion, and respiration.																																																						
Valerian	This Valerian plant has large, deeply lobed leaves and tall, spiky flowers. The flowers are white or pale pink and have a strong, sweet fragrance. The plant grows to a height of 2-3 feet and blooms from late spring to early summer.	Plant											Herb																																										
Valproate	Valproate is a medication that is used to treat seizures, bipolar disorder, and migraines. It is also used as an anticonvulsant.	Drug																																																					
Valproic acid	Valproic acid is a medication used to treat seizures. It is also used to treat bipolar disorder and to prevent migraines.	Drug																																																					
Vaping	The definition of vaping is the act of inhaling and exhaling the vapor produced by an electronic cigarette or similar device.																																																						
Variants	A variant is a gene that has two or more forms.																																																						
Vegan	A vegan is someone who does not eat any animal products, including meat, eggs, dairy, and honey.																																																						
Vegetable	A vegetable is a plant or part of a plant that is eaten as food.																																																						
Vegetable juice cocktail	A vegetable juice cocktail is a drink made from a combination of vegetable juices, typically including carrot juice, celery juice, and tomato juice.																																																						
Vegetarian	A vegetarian is a person who does not eat meat, poultry, fish, or seafood.																																																						
Vegetarian athletes	Some people may define vegetarian athletes as those who do not eat any meat or fish, while others may include those who eat eggs and dairy products in their definition.																																																						
Vegetarian baked beans	Vegetarian baked beans are a type of baked bean that does not contain any meat or meat products.																																																						
VePesid	VePesid is a brand name for the chemotherapy drug etoposide.	Drug																																																					
Verapamil	Verapamil is a calcium channel blocker that is used to treat high blood pressure and angina.	Drug				Calcium channel blockers																																																	
Versed	Versed is a trade name for the medication midazolam, a short-acting benzodiazepine. Midazolam is used for preoperative sedation, procedural sedation, and induction of anesthesia.																																																						
Vertigo	Vertigo is a health condition that is characterized by a feeling of dizziness and spinning. This feeling can be caused by a variety of things, including inner ear problems, head injuries, and certain medications.	Health condition																																																					
Vestibular system	The vestibular system is a network of organs in the inner ear that helps the body maintain balance and equilibrium. The vestibular system is made up of the vestibule, the semicircular canals, and the otolith organs. These organs work together to detect changes in the head's position and movement.																																																						
Viagra	Viagra is a medication used to treat erectile dysfunction and pulmonary arterial hypertension. Its active ingredient is sildenafil, which is a PDE5 inhibitor. Viagra was originally developed by Pfizer as a treatment for angina, but it was found to be more effective at treating erectile dysfunction.	Drug																																																					
Vine	A vine is a plant that grows on a trellis, fence, or other support by means of its own weight and the clasping of its stems and leaves.																																																						
Viral disease	A viral disease is a type of infection that is caused by a virus.																																																						
Viral infections	A viral infection is a contagious infection that is caused by a virus.																																																						
Visceral body fat	Visceral body fat is the fat that is stored around the abdominal organs. It is the most dangerous type of fat, as it is linked to an increased risk of heart disease, diabetes, and other health problems.																																																						
Vision	The ability to see clearly.																																																						
Visual field	The visual field is the area that can be seen by the eye when the head is held in a fixed position.																																																						
Visual focus	The definition of visual focus is the ability to see clearly and accurately.																																																						
Visual processing	Visual processing is the ability to interpret the visual information that we see. This includes the ability to recognize and understand objects, faces, and scenes.																																																						
Visual system	The visual system is the part of the nervous system which enables animals to see. It detects and interprets information from visible light.																																																						
Visualization	Visualization is the process of creating images, diagrams, or animations to communicate a message.																																																						
Vitamers	Vitamers are a group of chemically related compounds that have the same biological activity as a vitamin.																																																						
Vitamin A	Vitamin A is a nutrient found in food that is important for normal vision, the immune system, and reproduction.																																																						
Vitamin A deficiency	Vitamin A deficiency is a health condition where a person has a lack of vitamin A in their body. This can lead to problems such as night blindness, dry eyes, and a weakened immune system.	Health condition																																																					
Vitamin B-1	Vitamin B-1 is a water-soluble vitamin that is part of the B-complex group of vitamins. It is also known as thiamine or thiamin. Vitamin B-1 is essential for the body to convert carbohydrates into energy and for the proper functioning of the heart, muscles, and nervous system.																																																						
Vitamin B-12	Vitamin B-12 is a water-soluble vitamin that is involved in the metabolism of every cell in the human body. It is essential for the formation of red blood cells and the maintenance of the nervous system.																																																						
Vitamin B-2	Vitamin B-2 is a water-soluble vitamin that is part of the B-vitamin family. It is also known as riboflavin. Vitamin B-2 plays a role in energy metabolism and is necessary for the normal function of the nervous system and the skin.																																																						
Vitamin B-3	Vitamin B-3 is a water-soluble vitamin that is involved in energy metabolism and the synthesis of fatty acids and cholesterol.																																																						
Vitamin B-5	Vitamin B-5 is a water soluble vitamin that is part of the B-vitamin family. It is also known as pantothenic acid. Vitamin B-5 is involved in the metabolism of carbohydrates, fats, and proteins. It is also necessary for the synthesis of coenzyme A (CoA) and acetyl-CoA.																																																						
Vitamin B-6	Vitamin B-6 is a water-soluble vitamin that is part of the vitamin B complex. It is involved in many biochemical reactions in the body and is important for the metabolism of amino acids and proteins.																																																						
Vitamin B-7	Vitamin B-7, also known as biotin, is a water-soluble vitamin that is part of the B-vitamin family. Biotin acts as a coenzyme in the metabolism of fats and proteins.																																																						
Vitamin B-9	Vitamin B-9 is a water-soluble vitamin that is part of the B-vitamin family. It is also known as folate or folic acid. Vitamin B-9 is important for the production of red blood cells and for the proper development of the nervous system.																																																						
Vitamin C	Vitamin C is a water-soluble vitamin that is necessary for normal growth and development. It is also an antioxidant, meaning it helps protect cells from damage.																																																						
Vitamin C deficiency	This health condition is characterized by a lack of vitamin C in the body. This can lead to a number of problems including fatigue, weakness, and even death.	Health condition																																																					
Vitamin D	Vitamin D is a nutrient that helps the body absorb calcium.																																																						
Vitamin D deficiency	Vitamin D deficiency is a health condition where a person has insufficient levels of vitamin D in their body. This can lead to a number of health problems, including bone loss, muscle weakness, and an increased risk of infections.	Health condition																																																					
Vitamin D2	Vitamin D2 is a vitamin that helps the body absorb calcium.																																																						
Vitamin D3	Vitamin D3 is a nutrient that helps the body absorb calcium. It is also known as cholecalciferol.																																																						
Vitamin E	Vitamin E is a fat-soluble vitamin that is found in many foods, including vegetable oils, cereals, meat, eggs, and leafy green vegetables. It is also available as a dietary supplement.																																																						
Vitamin E deficiency	This is a health condition where there is a lack of vitamin E in the body. This can lead to problems with the nervous system, muscles, and other tissues.	Health condition																																																					
Vitamin K	Vitamin K is a nutrient that helps the blood clot.																																																						
Vitamin K deficiency	Vitamin K deficiency is a health condition where a person does not have enough vitamin K in their body. Vitamin K is a nutrient that helps the blood clot, and without enough of it, a person may bleed excessively.	Health condition																																																					
Vitamins and minerals	Vitamins and minerals are essential nutrients that are necessary for the proper function of the body.																																																						
Vitex agnus-castus	This is a Vitex agnus-castus plant. It is a deciduous shrub that can grow up to 6 m tall. The leaves are opposite, ovate-lanceolate, and have toothed margins. The flowers are small, white, and borne in clusters. The fruit is a small, black drupe.	Plant																																																					
VMH - Ventral medial hypothalamus	The ventral medial hypothalamus (VMH) is a region of the hypothalamus that is important in the regulation of feeding behavior and energy homeostasis. The VMH also plays a role in reproduction, stress, and emotion.																																																						
VO2 Max - Maximal oxygen consumption	The maximal oxygen consumption (VO2 max) is the maximal oxygen uptake capacity that a person can achieve in a short period of time.																																																						
Voltaren	Voltaren is a nonsteroidal anti-inflammatory drug (NSAID) used to relieve pain, swelling, and inflammation.																																																						
Vomiting	The definition of vomiting is the forcible ejection of the contents of the stomach through the mouth.																																																						
Waffles	A waffle is a leavened batter or dough cooked between two plates that are patterned to give a characteristic size, shape, and surface impression. There are many variations based on the type of waffle iron and recipe used.																																																						
Wakefulness	The state of being awake and aware.																																																						
Warfarin	Warfarin is an anticoagulant medication that is used to prevent blood clots from forming in the body.	Drug																																																					
Warts	Warts are small, usually painless growths on the skin. They can occur anywhere on the body, but are most common on the hands, feet, and face. Warts are caused by a virus and are contagious.	Health condition																																																					
Wasabi	Wasabi is a plant in the mustard family that is native to Japan. The root of the plant is ground into a paste and used as a condiment.																																																						
Water	Water is a substance that is essential for the survival of all known forms of life. It is in the air, in the ground, in rivers and lakes.																																																						
Water pills	Water pills are a type of medication that helps to remove excess water from the body. They are also known as diuretics.	Drug																																																					
Watermelon	A watermelon is a large, round fruit with green skin, pink flesh, and black seeds.																																																						
WBH - Whole body hyperthermia	Whole body hyperthermia is a medical treatment that uses heat to raise the body's temperature above the normal range. The goal of whole body hyperthermia is to damage or kill cancer cells while sparing normal cells.																																																						
Wearables	Wearables are electronic devices that are designed to be worn on the body.																																																						
Weight	The weight of an object is the force exerted on the object by gravity.																																																						
Weight control	Weight control is the process of monitoring and managing one's weight. This may involve diet, exercise, and other lifestyle changes.																																																						
Weight gain	Weight gain is an increase in body weight. This can be caused by an increase in muscle mass, fat deposits, or excess fluid.																																																						
Weight loss	There is no one definitive answer to this question.																																																						
Weight loss surgery	Weight loss surgery is a type of surgery that is performed in order to help a person lose weight. There are a variety of different types of weight loss surgery, and the type that is right for a person depends on a variety of factors, including the person's weight, health, and lifestyle.																																																						
Weight management	Weight management is the process of monitoring and regulating one's weight. This can be done through diet, exercise, and other lifestyle choices.																																																						
Weight monitoring	Weight monitoring is the process of tracking an individual's weight over time. This can be done manually, through the use of a scale, or electronically, through the use of a weight tracking app or website.																																																						
Wellbeing	The concept of wellbeing is often used to refer to a state of being happy, healthy and prosperous.																																																						
Wellbutrin	Wellbutrin is a medication that is used to treat depression.	Drug																																																					
Wellness and well-being	In general, wellness can be defined as a state of good physical and mental health, while well-being can be defined as a state of happiness and satisfaction.																																																						
Wernicke-korsakoff syndrome	Wernicke-Korsakoff syndrome is a neurological disorder that is caused by a deficiency of thiamine (vitamin B1). It is characterized by two distinct phases: the Wernicke phase and the Korsakoff phase. The Wernicke phase is characterized by changes in mental status, such as confusion and disorientation. The Korsakoff phase is characterized by memory loss and difficulty learning new information.																																																						
Wheat germ	The wheat germ is the reproductive part of the wheat plant. It is the part of the wheat kernel that germinates to produce a new wheat plant.																																																						
Wheat germ oil	The definition of wheat germ oil is an oil that is extracted from the germ of the wheat kernel. It is a rich source of vitamins and minerals, and has been used for centuries as a natural remedy for a variety of ailments.																																																						
Whey protein	Whey protein is a type of protein found in milk. It is often used as a dietary supplement, as it is a good source of protein and amino acids.																																																						
Whire rice	White rice is a type of rice that has been milled to remove the outer bran layer and the germ, leaving only the endosperm.																																																						
White beans	White beans are a type of legume that is native to Central and South America. They are a staple food in many cultures and are often used in soups, stews, and casseroles. White beans are high in fiber and protein, and they have a mild, nutty flavor.																																																						
White fat	White fat is a type of fat that is typically found around the waist and hips. It is considered to be the most dangerous type of fat because it is associated with a number of health problems, including heart disease and diabetes.																																																						
White matter	White matter is the tissue in the nervous system that contains the nerve fibers.																																																						
White noise	White noise is a signal that is random and contains all frequencies.																																																						
White rice	White rice is a type of rice that has been milled to remove the outer bran layer and the germ, leaving only the endosperm.																																																						
Whole person health	Whole person health is a state of physical, mental, and social well-being, not merely the absence of disease or infirmity.																																																						
Whole wheat bread	Whole wheat bread is a type of bread made with whole wheat flour.																																																						
Whole-wheat	Whole-wheat is a type of wheat that has not been processed, and as a result, contains all of the wheat grain.																																																						
Whole-wheat pita	Whole-wheat pita is a type of flatbread made with whole-wheat flour. It is typically round, with a pocket in the center that can be filled with various toppings.																																																						
Wild yam	The wild yam plant is a perennial vine that can grow up to 30 feet in length. It has large, heart-shaped leaves and produces small, yellowish-white flowers. The plant's root is thick and fleshy, and it is this root that is used medicinally.	Plant																																																					
Willow bark	Willow bark is a plant that is native to Europe and Asia. It has been used medicinally for centuries, and is still used today. The bark of the willow tree contains a substance called salicin, which is thought to be responsible for the plant's medicinal properties. Willow bark is commonly used to treat pain, inflammation, and fever.	Plant																																																					
Withdrawal symptoms	Withdrawal symptoms are the physical and psychological symptoms that occur when a person suddenly stops taking a substance that they have been dependent on.																																																						
Woman	A woman is an adult female human being.																																																						
Women	The definition of women is "adult human female".																																																						
Women’s health	Women’s health is a broad term that can encompass everything from reproductive health to mental health. Some people might define it as the study of how biological and social factors affect women’s health, while others might focus on how to prevent or treat health conditions that are more common in women.																																																						
Workspace	A workspace is a location where you can store files and folders, and access them from any device.																																																						
Wound care	The definition of wound care is the medical care and treatment of a wound, which is an injury to the body that breaks the skin or other tissues.																																																						
Wound healing	The process of wound healing is the body's natural response to injury. It is a complex process that involves the repair of damaged tissue, the production of new tissue, and the removal of debris.																																																						
Wrinkles	Wrinkles are lines or creases in the skin, usually caused by aging, sun damage, or smoking.																																																						
Writing	The definition of writing is the act of communicating thoughts and ideas in a written form.																																																						
Xeloda	Xeloda is a chemotherapy medication used to treat cancer. It works by interfering with the growth of cancer cells and is used to treat breast cancer, colon cancer, and rectal cancer.	Drug																																																					
Xenical	Xenical is a prescription medication used to help people lose weight. It works by preventing the body from absorbing fat from food.	Drug																																																					
Xenohormesis	Xenohormesis is the induction of stress responses in an organism by exposure to a foreign stressor. This stressor can come in the form of a chemical, physical, or biological agent.																																																						
Yerba mate	This Yerba mate plant is a perennial shrub that can grow up to 15 feet tall. It has dark green, serrated leaves and produces small, greenish-white flowers. The plant is native to South America and is often used to make a tea known as mate.	Plant																																																					
Yoag nidra	Yoga nidra is a form of guided meditation that is often practiced during yoga classes. The word nidra means "sleep" in Sanskrit, and yoga nidra is sometimes referred to as "yogic sleep." During yoga nidra, practitioners are typically instructed to lie down in a comfortable position and to focus on their breath. They may also be guided through a series of body-scanning techniques, in which they focus their attention on each part of their body in turn.																																																						
Yoga	The definition of yoga is a Hindu discipline that includes breath control, simple meditation, and the adoption of specific bodily postures to achieve control of the body and mind.																																																						
Yoga nidra	Yoga nidra is a form of guided meditation that is practiced while lying down in a comfortable position. The goal of yoga nidra is to reach a state of complete relaxation, both physically and mentally.																																																						
Yogurt	Yogurt is a fermented dairy product that is made from milk and yogurt cultures.																																																						
Yohimbe	This Yohimbe plant is a small, evergreen tree that grows up to 20 feet tall. It has a smooth, gray bark and small, dark green leaves. The tree produces small, white flowers and red berries. The berries are the source of the yohimbine alkaloid, which is used medicinally.	Plant																																																					
Younger adult	A younger adult is typically defined as someone between the ages of 18 and 25.																																																						
Zarontin	Zarontin is an anticonvulsant medication used to treat seizures.	Drug																																																					
Zeaxanthin	Zeaxanthin is a yellow pigment found in plants. It is used as a food coloring and as a dietary supplement.																																																						
Zestril	Zestril is a brand name for the prescription drug lisinopril. It is used to treat high blood pressure and congestive heart failure.																																																						
Zika	The Zika virus is a virus that is spread by mosquitoes. It can cause fever, rash, and joint pain. It can also cause birth defects in babies if the mother is infected during pregnancy.																																																						
Zinc	Zinc is a chemical element with the symbol Zn and atomic number 30. It is the first element in group 12 of the periodic table. In some respects, zinc is chemically similar to magnesium: both elements exhibit only one normal oxidation state (+2), and the Zn2+ and Mg2+ ions are of similar size. Zinc is the 24th most abundant element in Earth's crust and has five stable isotopes. The most common zinc ore is sphalerite (zinc blende), a zinc sulfide mineral. The largest workable lodes are in Australia, Asia, and the United States. Zinc is refined by froth flotation of the ore, roasting, and final extraction using electricity (electrowinning).																																																						
Zinc deficiency	Zinc deficiency is a health condition where a person has a zinc deficiency. This can lead to a number of health problems, including stunted growth, skin problems, and a weakened immune system.	Health condition																																																					
Zocor	Zocor is a prescription medication used to lower cholesterol and triglycerides in the blood.	Drug																																																					
Zoloft	Zoloft is a type of antidepressant medication that is used to treat major depressive disorder and other mental health conditions. The exact mechanism of action of Zoloft is not known, but it is thought to work by affecting certain chemicals in the brain that are involved in mood regulation.																																																						
Zone 2 cardio	Zone 2 cardio is a type of cardiovascular exercise that is performed at a moderate intensity. This type of exercise is often used by people who are trying to improve their cardiovascular fitness or lose weight.																																																						
Zone 2 Training	Zone 2 training is defined as training at a moderate intensity where you are able to talk in short sentences.																																																						
Zone 5 Training	Zone 5 training include working at or near your anaerobic threshold (AT) for extended periods of time, or performing high-intensity interval training (HIIT) workouts that alternate between periods of all-out effort and active recovery.																																																						
Zonisamide	Zonisamide is a medication used to treat seizures. It is an anticonvulsant that works by decreasing the activity of certain chemicals in the brain.	Drug																																																					
Zyprexa	Zyprexa is an antipsychotic medication used to treat schizophrenia and bipolar disorder.	Drug																																																					
Idiopathic hypersomnia	Idiopathic hypersomnia is a sleep disorder that is characterized by excessive sleepiness during the day. People with this condition may sleep for long periods of time at night, and they may have difficulty waking up in the morning. They may also experience other symptoms such as insomnia, sleep paralysis, and hallucinations.	Health condition																																																					
Acerola	The Acerola plant is a small, deciduous tree that is native to tropical America. It has a short trunk and a dense, round crown. The leaves are simple, opposite, and ovate-shaped. They are dark green in color and have a glossy surface. The flowers are white or pink and borne in clusters. The fruit is a small, red berry that is rich in vitamin C.	Plant																																																					
Acetyl-CoA	Acetyl-CoA is a molecule that is produced when glucose is broken down in the body. It is used in the production of energy in the body.																																																						
ADD - Attention deficit disorder	Attention deficit disorder (ADD) is a mental disorder that is characterized by problems with focus, hyperactivity, and impulsiveness.																																																						
ADHD - Attention deficit hyperactivity disorder	Attention deficit hyperactivity disorder (ADHD) is a mental disorder that is characterized by problems with focus, hyperactivity, and impulsiveness.																																																						
Age-related immune dysregulation	Age-related immune dysregulation is a condition in which the immune system becomes less effective at fighting off infection and disease as a person gets older. This can lead to an increased risk of developing infections, autoimmune diseases, and cancer.																																																						
Age-related macular degeneration	Age-related macular degeneration is a condition that affects the central part of the retina, known as the macula. The macula is responsible for sharp, central vision, which is necessary for activities such as reading and driving. Age-related macular degeneration typically affects older adults and can lead to a loss of central vision.																																																						
Aggressive	The definition of aggressive is someone who is quick to anger and violent in their actions.																																																						
Allergic reactions rhinitis	Allergic reactions rhinitis is a condition in which the lining of the nose becomes inflamed and irritated in response to an allergen.																																																						
Alternative	The definition of alternative is something that is available as another choice.																																																						
Animal studies	Animal studies are research investigations using animals to learn about basic biological processes and to develop new treatments for human diseases.																																																						
Anti-catabolic	The definition of anti-catabolic is "tending to prevent or reverse catabolism." Catabolism is the breakdown of complex molecules into simpler ones, so anti-catabolic means tending to prevent or reverse the breakdown of complex molecules.																																																						
Anti-diabetic	The definition of anti-diabetic is a medication that is used to treat diabetes.																																																						
Anti-inflammatory	The definition of anti-inflammatory is a medication that reduces inflammation.																																																						
Anti-psychotic	A medication that is used to treat psychosis.																																																						
Anti-thyroid	The definition of anti-thyroid is a medication that is used to treat an overactive thyroid gland.																																																						
Antibiotic-associated diarrhea	Antibiotic-associated diarrhea is a type of diarrhea that may occur as a side effect of taking antibiotics.																																																						
Anticoagulant medication	Anticoagulant medication is a medication that is used to prevent the formation of blood clots.																																																						
Anticonvulsant	Anticonvulsants are a type of medication used to treat seizures.																																																						
Antiepileptic	Antiepileptic drugs are a type of medication used to treat epilepsy.																																																						
Antihypertensive	A drug that is used to treat high blood pressure.																																																						
Antioxidant enzyme	Antioxidant enzymes are enzymes that protect cells from damage caused by reactive oxygen species.																																																						
Antiplatelet	An antiplatelet is a drug that inhibits the ability of platelets to clump together and form blood clots.																																																						
Antisocial	The definition of antisocial is someone who does not want to be around other people and who does not want to follow the rules of society.																																																						
Anxiety	Anxiety is a feeling of worry, nervousness, or unease about something with an uncertain outcome.	Health condition																																																					
Anxiety disorder	An anxiety disorder is a mental disorder characterized by feelings of anxiety, fear, and worry.																																																						
APOB gene	The APOB gene provides instructions for making a protein called apolipoprotein B. This protein is a key component of low-density lipoprotein (LDL), which is often referred to as "bad" cholesterol.																																																						
Apple cider vinegar	Apple cider vinegar is a type of vinegar made from apple cider that has undergone fermentation to become hard.																																																						
Aptiom	Aptiom is an anti-epileptic medication used to treat seizures.																																																						
Aralen	Aralen is a brand name for the prescription drug chloroquine, which is used to prevent and treat malaria.																																																						
Argyria	Argyria is a condition in which the skin and tissues are permanently stained blue-gray by silver.																																																						
Aricept	Aricept is a medication used to treat Alzheimer's disease.																																																						
Aromatherapy	Aromatherapy is the practice of using essential oils to promote relaxation and well-being.																																																						
Arousal	Arousal is the state of being awake and responsive to stimuli. It is the body's way of preparing for action.																																																						
Artemether	Artemether is an antimalarial drug used to treat and prevent malaria. It is typically used in combination with lumefantrine.																																																						
Artenam	Artenam is an antibiotic used to treat bacterial infections.																																																						
Arthritis	Arthritis is a health condition that causes pain and inflammation in the joints.	Health condition																																																					
Artificial sweeteners	Artificial sweeteners are chemicals that are used to sweeten food and drinks.																																																						
ASD - Autism spectrum disorder	ASD is a developmental disorder that affects communication and social interaction. It can also cause repetitive behaviors.																																																						
Aspirin	Aspirin is a medication used to treat pain, fever, and inflammation.																																																						
Assays	Assays are tests used to measure the amount or activity of a substance.																																																						
Astragalus	This plant is a member of the legume family and is native to China. It is a perennial herb that can grow to be about two feet tall. The leaves are compound and the flowers are white or yellow. The fruit is a pod that contains several seeds.	Plant																																																					
Atherosclerosis	Atherosclerosis is a health condition that is characterized by the buildup of plaque in the arteries. This plaque can narrow the arteries and make it difficult for blood to flow through them. Atherosclerosis can lead to heart disease, stroke, and other serious health problems.	Health condition																																																					
Athlete's foot	Athlete's foot is a condition that causes the skin on the feet to become itchy, red, and cracked. It is caused by a fungus that grows in warm, moist environments, such as locker rooms and showers. Athlete's foot is contagious and can be spread by direct contact with the fungus or by sharing contaminated towels or shoes. Treatment for athlete's foot includes over-the-counter antifungal creams and powders.	Health condition																																																					
Athletic performance	Athletic performance is the physical and mental ability of an athlete to complete a given task or activity.																																																						
Atopic dermatitis	Atopic dermatitis is a chronic, relapsing, inflammatory skin disorder characterized by pruritus, erythema, and eczematous lesions.																																																						
ATP - Adenosine triphosphate	ATP is a nucleotide that is composed of adenosine and three phosphate groups. It is the primary energy source for cells and is necessary for a variety of cellular processes.																																																						
Atrial fibrillation	Atrial fibrillation is a heart condition that causes an irregular and often rapid heart rate. Symptoms include chest pain, shortness of breath, and dizziness. Treatment typically involves medications or electrical cardioversion.	Health condition																																																					
Auditory environment	The auditory environment is the sum of all the sounds that are present in a given area.																																																						
Autoimmune	The definition of autoimmune is when the body's immune system attacks and destroys healthy body tissue by mistake.																																																						
Autoimmune disease	This Autoimmune disease health condition is characterized by the body's immune system attacking and destroying the body's own healthy tissue.	Health condition																																																					
Autonomic nervous system	The autonomic nervous system is the part of the nervous system that controls involuntary body processes, such as heart rate, blood pressure, digestion, and respiration.																																																						
Ayahuasca	This Ayahuasca plant is a tropical vine that is native to the Amazon rainforest. It is also known by its scientific name, Banisteriopsis caapi. The Ayahuasca plant is used to make a powerful psychedelic brew that has been used for centuries by indigenous people in the Amazon for religious and spiritual purposes. The Ayahuasca plant contains the psychoactive compound DMT, which is responsible for the powerful hallucinations that users experience.	Plant																																																					
Azulfidine	Azulfidine is a medication used to treat rheumatoid arthritis, ulcerative colitis, and Crohn's disease. It is a sulfa drug and works by decreasing the body's production of inflammatory chemicals.																																																						
B-vitamins	B-vitamins are a group of water soluble vitamins that are essential for metabolism, energy production, and cell growth and repair.																																																						
Baby	A baby is a very young human child, typically one that has not yet begun to walk or talk.																																																						
Back pain	The description of this Back pain health condition is that it is a condition in which the individual experiences pain in the back. This pain can be caused by a variety of factors, including muscle strain, arthritis, disc problems, and nerve problems.	Health condition																																																					
Background noise	Background noise is any sound other than the desired sound.																																																						
Bacteria	Bacteria are single-celled microorganisms that can live in a wide variety of environments. Some cause disease, while others are beneficial.																																																						
Bacterial vaginosis	Bacterial vaginosis is a condition in which the normal balance of bacteria in the vagina is disrupted and replaced by an overgrowth of other types of bacteria.																																																						
Bacteroides	Bacteroides are a type of Gram-negative bacteria that are often found in the human gut. These bacteria are an important part of the human microbiome and play a role in digesting food, producing vitamins, and protecting against pathogens.																																																						
