Entity,Types,Name,Author,URL,Publish date,Podcast,Podcast episode
"Episode 87: Dr. Erich Jarvis – The Neuroscience Of Speech, Language & Music | Huberman Lab",Summary,"Episode 87: Dr. Erich Jarvis – The Neuroscience Of Speech, Language & Music | Huberman Lab",Podcast Notes,https://podcastnotes.org/huberman-lab/episode-87-dr-erich-jarvis-the-neuroscience-of-speech-language-music-huberman-lab/,2022-08-31,,"Dr. Erich Jarvis: The Neuroscience of Speech, Language & Music"
Episode 88: Focus Toolkit – Tools To Improve Your Focus & Concentration | Huberman Lab,Summary,Episode 88: Focus Toolkit – Tools To Improve Your Focus & Concentration | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-88-focus-toolkit-tools-to-improve-your-focus-concentration-huberman-lab/,2022-09-07,,Focus Toolkit: Tools to Improve Your Focus & Concentration
"Episode 89: Dr. David Anderson – The Biology Of Aggression, Mating, & Arousal | Huberman Lab",Summary,"Episode 89: Dr. David Anderson – The Biology Of Aggression, Mating, & Arousal | Huberman Lab",Podcast Notes,https://podcastnotes.org/huberman-lab/episode-89-dr-david-anderson-the-biology-of-aggression-mating-arousal-huberman-lab/,2022-09-14,,"Dr. David Anderson: The Biology of Aggression, Mating & Arousal"
Episode 90: Nicotine’s Effect On The Brain & Body & How To Quit Smoking Or Vaping | Huberman Lab,Summary,Episode 90: Nicotine’s Effect On The Brain & Body & How To Quit Smoking Or Vaping | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-90-nicotines-effect-on-the-brain-body-how-to-quit-smoking-or-vaping-huberman-lab/,2022-09-24,,Nicotine’s Effects on the Brain & Body & How to Quit Smoking or Vaping
Episode 91: Dr. Case Halpern – Biology & Treatments For Compulsive Behaviors & Binge Eating | Huberman Lab,Summary,Episode 91: Dr. Case Halpern – Biology & Treatments For Compulsive Behaviors & Binge Eating | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/36768/,2022-10-02,,Dr. Casey Halpern: Biology & Treatments for Compulsive Eating & Behaviors
Episode 92: The Effects Of Cannabis (Marijuana) On The Brain & Body | Huberman Lab,Summary,Episode 92: The Effects Of Cannabis (Marijuana) On The Brain & Body | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-92-the-effects-of-cannabis-marijuana-on-the-brain-body-huberman-lab/,2022-10-08,,The Effects of Cannabis (Marijuana) on the Brain & Body
Episode 93: Dr. Nolan Williams – Psychedelics & Neurostimulation for Brain Rewiring | Huberman Lab,Summary,Episode 93: Dr. Nolan Williams – Psychedelics & Neurostimulation for Brain Rewiring | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-93-dr-nolan-williams-psychedelics-neurostimulation-for-brain-rewiring-huberman-lab/,2022-10-12,,Dr. Nolan Williams: Psychedelics & Neurostimulation for Brain Rewiring
Episode 94: Fitness Toolkit – Protocols & Tools To Optimize Physical Health | Huberman Lab,Summary,Episode 94: Fitness Toolkit – Protocols & Tools To Optimize Physical Health | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-94-fitness-toolkit-protocols-tools-to-optimize-physical-health-huberman-lab/,2022-10-23,,Fitness Toolkit: Protocol & Tools to Optimize Physical Health
Episode 95: Dr. Eddie Chang – The Science Of Learning & Speaking Languages | Huberman Lab,Summary,Episode 95: Dr. Eddie Chang – The Science Of Learning & Speaking Languages | Huberman Lab,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-95-dr-eddie-chang-the-science-of-learning-speaking-languages-huberman-lab/,2022-10-28,,Dr. Eddie Chang: The Science of Learning & Speaking Languages
Episode 96: How Meditation Works & Science-Based Effective Meditations | Huberman La,Summary,Episode 96: How Meditation Works & Science-Based Effective Meditations | Huberman La,Podcast Notes,https://podcastnotes.org/huberman-lab/episode-96-how-meditation-works-science-based-effective-meditations-huberman-lab/,2022-11-02,,How Meditation Works & Science-Based Effective Meditations
"Episode 97: Dr. Layne Norton – The Science Of Eating For Health, Fat Loss & Lean Muscle (Part 1) | Huberman Lab",Summary,"Episode 97: Dr. Layne Norton – The Science Of Eating For Health, Fat Loss & Lean Muscle (Part 1) | Huberman Lab",Podcast Notes,https://podcastnotes.org/huberman-lab/episode-97-dr-layne-norton-the-science-of-eating-for-health-fat-loss-lean-muscle-part-1-huberman-lab/,2022-11-09,,"Dr. Layne Norton: The Science of Eating for Health, Fat Loss & Lean Muscle"
"Episode 98: Science-Based Tools For Increasing Happiness| Huberman Lab",Summary,"Episode 98: Science-Based Tools For Increasing Happiness| Huberman Lab",Podcast Notes,https://podcastnotes.org/huberman-lab/__trashed-2/,2022-11-16,,Science-Based Tools for Increasing Happiness
