ID,,TEXT,Types,Related to,Is about,Is about,Is about,Author
,,"There are also opportunities to improve income supports programs for low-income people. As an example, TANF assistance can be made more readily accessible to families experiencing a housing crisis that might help avert homelessness for some.",Claim,,Groups,Finance,,The National Alliance to End Homelessness
,,"Training local staff in the SOAR (Supplemental Security Income/Social Security Disability Income Outreach, Access and Recovery) model can reduce the length of time eligible people with disabilities must wait before receiving Supplemental Security Income (SSI).",Claim,,Health,Finance,,The National Alliance to End Homelessness
,,The large number of car break-ins might be a driving factor in San Francisco low clearance rates for property crime.,Claim,,Big picture,Statistics,,San Francisco Chronicle
,,"It’s an unusually high number of unsheltered homeless people for a large American city (San Francisco). There is no official comparable data for 2022, but numbers collected across the U.S. in 2019 shows that, among the nation's largest cities for which there is data, only L.A. had a higher rate of unsheltered homeless people at 0.67%.",Claim,,Big picture,Shelters,Statistics,San Francisco Chronicle
,,"Unlike San Francisco, many cold weather cities have a right to shelter, and in some conditions, force people off the streets and into shelters.",Claim,,Big picture,Shelters,,San Francisco Chronicle
,,"Every two years, cities and counties across the nation conduct a federally mandated, in-person count of homeless individuals on a single night in January or February. The survey – known as the PIT count – is a snapshot of homelessness, as it doesn't capture all people who fell into homelessness throughout the year",Claim,,Big picture,Information resource,,San Francisco Chronicle
,,"The data showed that after increasing quickly from less than 5,700 in 2013 to over 8,000 in 2019, the number of homeless individuals decreased slightly to 7,800 in 2022",Claim,,Big picture,Statistics,,San Francisco Chronicle
,,"San Francisco <.> has the nation’s highest housing wage (i.e., the hourly wage a full-time worker must earn to afford a modest home at HUD’s fair market rent ).",Claim,Provide additional support on top of housing homeless people,Big picture,Housing,Supportive housing,San Francisco Chronicle
,,San Francisco Department of Health keeps track of the number of people they have offered homelessness services to throughout the year,Claim,,Big picture,Information resource,,San Francisco Chronicle
,,"Unlike San Francisco, many cold weather cities have a right to shelter, and in some conditions, force people off the streets and into shelters.",Claim,,Big picture,Statistics,,San Francisco Chronicle
,,"According to responses from a 2019 survey of homeless people identified through the PIT count, a quarter said losing a job was the primary reason they became homeless",Claim,,Big picture,Cause,,San Francisco Chronicle
,,A disproportionate share of S.F.'s homeless population is over 40.,Claim,,Big picture,Statistics,Age,San Francisco Chronicle
,,"Although 46% of S.F.'s population is over 40, that age group accounts for more than 57% of homeless people.",Claim,,Big picture,Statistics,Age,San Francisco Chronicle
,,"Studies have found that older adults in low-income jobs often haven't been able to save money, and when hard times hit, end up on the streets.",Claim,,Big picture,Cause,Age,San Francisco Chronicle
,,Black people are about ten times as likely to be homeless as white people in the city <San Francisco>.,Claim,,Big picture,Groups,,San Francisco Chronicle
,,People without housing typically face an unusual number of health issues.,Claim,,Big picture,Health,,San Francisco Chronicle
,,"According to DPH data, substance abuse, depression and alcoholism were the top three medical issues among the people who accessed homelessness services in 2019.",Claim,,Big picture,Health,,San Francisco Chronicle
,,A disproportionate share of San Francisco homeless population is over 40.,Claim,,Big picture,Statistics,,San Francisco Chronicle
,,The city has allocated more and more funding toward homelessness since 2016,Claim,,Big picture,Funding,,San Francisco Chronicle
,,"In 2021, COVID-19 Fema funding and relief grants contributed to the budget’s largest homelessness investment yet at $1.1 billion.",Claim,,Big picture,Funding,,San Francisco Chronicle
,,Housing costs for San Francisco residents are among the highest in the world.,Claim,There is not enough affordable housing,Housing,,,San Francisco Chronicle
,,"Similar-size cities such as Seattle, Denver and Austin, Texas, have approved construction for three to four times as many residential units as San Francisco since 2015, according to U.S. census building permit data.",Claim,There is not enough affordable housing,Housing,Housing,,San Francisco Chronicle
,,"From 2015 to 2021, <San Francisco> permitted 24,600 units to be built, a little over 3,500 units annually.",Claim,Build more affordable housing,Housing,,,San Francisco Chronicle
,,"According to the latest 2014 Housing Element, S.F. needs to build 82,000 new units from 2023 to 2030, which means building more than 10,000 units per year starting in 2023. That’s almost triple the city’s recent pace.",Claim,Build more housing units,Housing,Statistics,,San Francisco Chronicle
,,"When compared with other fast-growing tech hubs like Austin and Seattle, the difference in San Francisco building permit approval rate was particularly stark <low>",Claim,Not enough building permits are being issued,Housing,,,San Francisco Chronicle
,,"<July 2022, the Chronicle survey 1,653 San Francisco residents which problem in the city needed to be addressed most urgently>. When broken down by race, respondents who identify as Asian were the most likely to cite safety and crime as the most urgent issue in San Francisco. Black respondents were the least likely to say crime and safety, but were the most likely to say homelessness.",Claim,,Housing,Statistics,,San Francisco Chronicle
,,"The data shows that two-thirds of San Francisco units are either single family homes or in buildings with more than 20 units, according to 2021 data.",Claim,Not enough high density buildings,Housing,Statistics,,San Francisco Chronicle
,,"In recent years, however, the city has mostly built large housing structures. 89% of all units added in 2021 were with more than 20 units, which is typical of the past several years of building in the city.",Claim,,Housing,Statistics,,San Francisco Chronicle
,,"To maximize profit, developers are incentivized to buy land and build residential buildings that can house many tenants.",Claim,,Housing,,,San Francisco Chronicle
,,San Francisco current housing stock does not have many units that are affordable.,Claim,There is not enough affordable housing,Housing,,,San Francisco Chronicle
,,"Only 9% of the current units in S.F. are affordable, according to early documentation of the city’s housing needs assessment.",Claim,There is not enough affordable housing,Housing,Statistics,,San Francisco Chronicle
,,"When compared with other fast-growing tech hubs like Austin and Seattle, the difference in San Francisco building permit approval rate was particularly stark <low>",Claim,Not enough building permits are being issued,Housing,Statistics,,San Francisco Chronicle
,,<2018 to 2021> San Francisco portion of <permitted> affordable housing is midtier compared with other major cities in California.,Claim,,Housing,Statistics,,San Francisco Chronicle
,,Among the ways policymakers are promoting new housing is allowing property owners to make alterations to their existing buildings that create new units,Claim,,Housing,,,San Francisco Chronicle
,,"<Building> alterations have contributed an increasing number of units to the <San Francisco> housing stock since 2017.
",Claim,,Housing,,,San Francisco Chronicle
,,Accessory dwelling units are the most common type of alteration <in San Francisco>,Claim,,Housing,,,San Francisco Chronicle
,,ADUs are small additional units constructed on the property of an existing home and were developed to address growing housing demands in San Francisco.,Claim,,Housing,Description,,San Francisco Chronicle
,,"Senate Bill 9 made it easier for homeowners to split their lots and convert their homes into duplexes.
",Claim,,Housing,,,San Francisco Chronicle
,,Homeowners looking to build <new units of housing> <under SB9> on their lot have faced challenges like immense fees and lack of knowledge to navigate the legal process.,Claim,,Housing,,,San Francisco Chronicle
,,"The housing production process begins when a building permit application for a project is filed with the city. If the application is accepted by the department, it receives authorization, or “entitlement,” to begin the next phase of the development process.",Claim,,Housing,Description,,San Francisco Chronicle
,,"The number of < building permit application in San Francisco> filings fell from 2015 to 2020, and entitlements in 2021 were at their lowest point in the past seven years.
",Claim,,Housing,Housing,,San Francisco Chronicle
,,"So far, 2022 is not looking like a good year. <San Francisco> is on track to build fewer than 3,000 homes.",Claim,,Housing,Housing,,San Francisco Chronicle
,,"Rising construction costs and challenging affordability requirements have stymied building, according to developers",Claim,,Housing,,,San Francisco Chronicle
,,"Compared with other major U.S. cities, S.F. boasts lower-than-average rates of violent crime",Claim,,Crime,,,San Francisco Chronicle
,,"<Compared with other major U.S. cities, S.F> suffers from unusually high rates of property crimes, such as theft and burglary.",Claim,,Crime,,,San Francisco Chronicle
,,"In 2020, the reported violent crime rate in San Francisco was 21% below the average of 20 most populous cities other than San Francisco for which there was full 2020 data available.",Claim,,Crime,,,San Francisco Chronicle
,,<2020> San Francisco property crime rate was 41% above average <of 20 most populous cities other than San Francisco>,Claim,,Crime,,,San Francisco Chronicle
,,"With the exception of robberies, violent crime in San Francisco is below average for large cities",Claim,,Crime,,,San Francisco Chronicle
,,"In 2019 and 2020, San Francisco ranked in the bottom half among major U.S. cities, with rates of 670 and 540 violent crime incidents per 100,000 residents, respectively.",Claim,,Crime,,,San Francisco Chronicle
,,San Francisco violent crime rate has declined significantly since the early 1990s – a trend that is consistent with the rest of the state.,Claim,,Crime,,,San Francisco Chronicle
,,Anti-gun violence initiatives in S.F. may have contributed to this trend <of violent crime decline since 1990>,Claim,,Crime,Cause,,San Francisco Chronicle
,,"According to Magnus Lofstrom, senior researcher at the Public Policy Institute of California, changing drug markets, more police officers, increased incarceration, an aging population and economic growth are potential factors for this decline <of statewide violent crime rate since 1990>",Claim,,Crime,Cause,,San Francisco Chronicle
,,Researchers have found that economic disadvantage and income inequality contribute to high rates of violent crime increases,Claim,,Crime,Finance,,San Francisco Chronicle
,,"San Francisco is an unusually wealthy city, with relatively few people in living poverty, which is likely a contributing factor to the city’s relatively low rates of reported violent crime.",Claim,,Finance,Crime,,San Francisco Chronicle
,,"In 2020, San Francisco was in the top three cities with the highest property crime.",Claim,,Crime,Statistics,,San Francisco Chronicle
,,"In 2019, the city ranked number one for property crimes among the major cities.",Claim,,Crime,Statistics,,San Francisco Chronicle
,,"<2019> agencies reported 5,500 incidents of burglary, larceny-theft, motor vehicle theft or arson per 100,000 San Franciscans.",Claim,,Crime,Statistics,,San Francisco Chronicle
,,Data in 2020 shows that the city’s burglary rate was 67% above the average of 20 other major cities.,Claim,,Crime,Statistics,,San Francisco Chronicle
,,"<San Francisco is both a tourist destination and a commuter city> this could be contributing to San Francisco high rates of theft-related crime. For example, tourists and commuters are particularly vulnerable to car break-ins.",Claim,,Crime,Cause,,San Francisco Chronicle
,,"The number of commuters and tourists has been lower in <San Francisco> since the start of the pandemic, <but property crime rate> remains unusually high",Claim,,Crime,,,San Francisco Chronicle
,,Researchers think that San Francisco high levels of economic inequality could be a contributing factor to the city’s high rates of property crime.,Claim,,Crime,Cause,,San Francisco Chronicle
,,"In July 2022, the Chronicle asked 1,653 San Francisco residents which problem in the city needed to be addressed most urgently. Crime and public safety were the second most common answer, after homelessness.",Claim,,Big picture,Statistics,,San Francisco Chronicle
,,"<July 2022, the Chronicle survey 1,653 San Francisco residents which problem in the city needed to be addressed most urgently>. When broken down by race, respondents who identify as Asian were the most likely to cite safety and crime as the most urgent issue in San Francisco. Black respondents were the least likely to say crime and safety, but were the most likely to say homelessness.",Claim,,Groups,Statistics,,San Francisco Chronicle
,,"Many San Franciscans are critical of the city’s police, according to a Chronicle survey.",Claim,,Crime,Police,,San Francisco Chronicle
,,"When asked to evaluate police performance in the city, 41% of survey respondents said the police have done a poor or very poor job at making San Francisco a better place to live and work in the last three years. Only 18% said they were doing an excellent or good job.
",Claim,,Crime,Police,,San Francisco Chronicle
,,"The police received the most favorable responses from Hispanic respondents, with 21% saying the police have done an excellent or good job in the last three years.",Claim,,Crime,Groups,Police,San Francisco Chronicle
,,San Franciscans may have reason to be displeased with police performance. A decade of data shows that property crime clearance rates in San Francisco have been decreasing since 2014.,Claim,,Crime,Police,,San Francisco Chronicle
,,"Burglary cases <in San Francisco> are the most common type of property crime to be cleared, though rates were on the decline in 2020.",Claim,,Crime,,,San Francisco Chronicle
,,"<In San Francisco> Clearance rates for thefts decreased the most since 2014, whereas motor vehicle theft clearances saw the most improvement.
",Claim,,Crime,,,San Francisco Chronicle
,,"Compared to 19 other cities for which there is data, San Francisco clearance rate for overall property crime ranks in the bottom half at just over 6%.",Claim,,Crime,,,San Francisco Chronicle
,,"Violent crimes are more likely to be cleared than property crimes, however San Francisco still ranks relatively low <compared to other cities>",Claim,,Crime,,,San Francisco Chronicle
,,The large number of car break-ins might be a driving factor in San Francisco low clearance rates for property crime.,Claim,,Crime,,,San Francisco Chronicle
,,PPIC crime researcher Lofstrom said car break-ins are notoriously difficult to solve.,Claim,,Crime,,,San Francisco Chronicle
,,"The Department of Housing and Urban Development, Department of Health and Human Services, and the Department of Veterans Affairs consider a person to be homeless if they are sleeping outside, in a place not meant for human habitation such as a car or abandoned building, or in an emergency shelter or transitional housing program. Other federal agencies have different definitions for homelessness.",Claim,,,Description,,National Alliance to End Homelessness
,,"Main reason people become homeless is because they cannot find housing they can afford. Other factors can include a chronic health condition, domestic violence and systemic inequality.",Claim,,Big picture,Cause,,National Alliance to End Homelessness
,,"To end homelessness, the nation will need an adequate supply of housing that is affordable to lower income households.",Claim,,Big picture,Housing,,National Alliance to End Homelessness
,,But the housing shortage and rising rents in communities across the nation are direct threats to the progress we’ve made <on homelessness>,Claim,There is not enough affordable housing,Housing,Big picture,,National Alliance to End Homelessness
,,Shared Housing is a strategy that maximizes housing resources in a community to get people housed quickly and reduce system strain.,Claim,,Housing,Shared Housing,,National Alliance to End Homelessness
,,"Sharing housing is often used as a response to a lack of affordable housing, as it reduces the rent burden for all parties involved – tenants, landlords, and the homelessness system itself.",Claim,,Housing,Shared Housing,,National Alliance to End Homelessness
,,"Progressive Engagement is a strategy to maximize a community’s limited resources by tailoring assistance to each household’s unique strengths, needs, and changing circumstances, and scaling them up or down as needed over time.",Claim,,Big picture,Progressive engagement,,National Alliance to End Homelessness
,,"Housing First is a philosophy rooted in the understanding that the most effective way to end a person’s homelessness is to connect them with permanent housing as fast as possible, without unnecessary preconditions, while offering on-going support through connection to optional services.",Claim,House homeless people first before addressing underlying causes,Housing First,Housing,Description,National Alliance to End Homelessness
,,"Shared housing is NOT a lesser option. Living with other people – especially when transitioning out of homelessness – has extraordinary social, mental, and emotional benefits. It also is a more affordable option than renting an entire unit on one’s own.",Claim,,Housing,Shared Housing,,National Alliance to End Homelessness
,,"Shared housing is an affordable housing model in which a person experiencing
homelessness lives with two or more people in one permanent housing unit, sharing the
rent and utilities. Each person living in the unit is listed on the lease.",Claim,,Shared Housing,Housing,Description,National Alliance to End Homelessness
,," <Shared housing> often involves working closely with people experiencing homelessness to help match them with potential
housemates, negotiating with landlords, and consistently engaging with all parties to
ensure that the arrangement is appropriate.",Claim,,Shared Housing,Housing,,National Alliance to End Homelessness
,,"Shared housing is a critical solution that addresses the lack of affordable housing. A
crisis most affecting those who are extremely low income and people experiencing
homelessness.",Claim,,Housing,Shared Housing,,National Alliance to End Homelessness
,,"The shared housing model increases affordable housing options and allows
for multiple people experiencing homelessness to access housing at once — which both
benefits people experiencing homelessness (can access housing more quickly) and the
homelessness system itself (more people, housed more quickly creates less strain on the
system due to increased outflow).",Claim,,Housing,Shared Housing,,National Alliance to End Homelessness
,,"Along with alleviating someone’s financial burden <shared housing> also provides
many benefits such as strengthening social support networks and accessing resources, such
as food, childcare, and other essential resources, that may previously have been unavailable.",Claim,,Housing,Shared Housing,,National Alliance to End Homelessness
,,"In many cases, shared housing works best when the strengths of each
person or household complement the other’s needs.",Claim,,Shared Housing,Housing,,National Alliance to End Homelessness
,,"Example 1: a senior with a low-fixed income could live in shared housing with a lowincome family. If the senior does not have any income, they can provide childcare or
other agreed upon services in lieu of rent. This can alleviate the burden of childcare
costs on the family and provide affordable, permanent housing to the senior. ",Claim,,Shared Housing,Housing,,National Alliance to End Homelessness
,,"Example 2: A young adult with no income could live in shared housing with a low,
fixed-income senior and offer in-home living support for the senior in exchange for
renting a room in their home. In this scenario, if the homeless young adult is working
with a homeless system program (coordinated access, shelter, rapid re-housing
program, etc), diversion, rapid exit, rapid re-housing, or other funds can be utilized to
assist the young adult with paying for training to provide in-home assistance/care to
the senior.",Claim,,Shared Housing,Housing,,National Alliance to End Homelessness
,,"A successful shared housing arrangement involves good communication — including
roommate/housemate agreements, budgeting parameters, conflict resolution strategies,
support from landlords, and additional support from service providers as needed.",Claim,,Shared Housing,Housing,,National Alliance to End Homelessness
,,"Effective shared housing uses roommate matching considerations to ensure that all tenants can
live in an environment that best suits their own strengths and needs. Some of those
components may include noise level in the unit, substance use, and visitors to the unit.",Claim,,Shared Housing,Housing,,National Alliance to End Homelessness
,,"Progressive engagement is an approach to quickly ending homelessness for a household
that considers their tenant or housing stabilization barriers, and utilizes the minimal
financial and support resources as is necessary. It is considered a person-centered
approach, as it is based on tailoring assistance to each household’s strengths and needs. ",Claim,,Progressive engagement,Description,,National Alliance to End Homelessness
,,"Progressive engagement
is a practice and a philosophy, rather than a strategy for specific program types or a
program in itself.",Claim,,Progressive engagement,Description,,National Alliance to End Homelessness
,,"<Progressive engagement> At a household’s first touch point with the homelessness system, staff engage in a
problem-solving conversation to identify the household’s strengths and most immediate
needs for services. From this initial conversation, staff will assess which light-touch
interventions (such as information and connection to resources, warm handoffs to
community partners, or small financial assistance) can be utilized to resolve the
household’s housing crisis",Claim,,Progressive engagement,Description,,National Alliance to End Homelessness
,,"The key to a successful progressive engagement approach is to consistently employ
these problem-solving conversations throughout the household’s experience within the
homelessness response system. As their circumstances change and their strengths are
identified, supports are adjusted throughout their pathway to permanent housing",Claim,,Progressive engagement,,,National Alliance to End Homelessness
,,"<Progressive engagement > This approach provides an opportunity for providers to individualize approaches, ensuring
the right amount of assistance meets a household’s needs at a given time. Progressive
engagement is an efficient approach, in that it avoids providing more assistance than
is needed;",Claim,,Big picture,Progressive engagement,,National Alliance to End Homelessness
,,"<Progressive Engagement> approach allows systems to tailor resources and services to the unique experiences of each household, as opposed
to a one-size-fits-all approach where too little or more assistance than is needed can be given.",Claim,,Big picture,Progressive engagement,,National Alliance to End Homelessness
,,"Housing First does not require people experiencing homelessness to address their problems before they can
access housing, including behavioral health problems, or graduating through a series of services programs.",Claim,House homeless people first before addressing underlying causes,Housing First,Description,,National Alliance to End Homelessness
,,"Housing First has been found to be particularly effective approach to end homelessness for highly vulnerable populations, such as chronically homeless
individuals.",Claim,House homeless people first before addressing underlying causes,Chronically homeless,Housing First,Housing,National Alliance to End Homelessness
,,"Housing First also promotes racial equity, in that in that it removes judgement from the providers
as to who is “deserving” of permanent housing - which can be riddled with bias against people of color. 
",Claim,House homeless people first before addressing underlying causes,Groups,Housing,Housing First,National Alliance to End Homelessness
,,There is a large evidence base demonstrating that Housing First is an effective solution to homelessness.,Claim,House homeless people first before addressing underlying causes,Housing,Housing First,,National Alliance to End Homelessness
,,Consumers in a Housing First model access housing faster and are more likely to remain stably housed,Claim,House homeless people first before addressing underlying causes,Housing,Housing First,,National Alliance to End Homelessness
,,"Providing access to housing generally results in cost savings for communities because housed people are less likely to use emergency services, including hospitals, jails, and emergency shelter, than those who are homeless.",Claim,,Big picture,Housing,,National Alliance to End Homelessness
,,"One study found an average cost savings on emergency services of $31,545 per person housed in the course of two years. Another study showed that a Housing First approach can cost up to $23,000 less per consumer per year than a shelter program. Housing First is not only cost efficient, but it also reduces the trauma households face due to homelessness.",Claim,House homeless people first before addressing underlying causes,Housing,Housing First,Shelters,National Alliance to End Homelessness
,,Federal housing assistance: Federal housing programs are one of the most successful housing-based solutions to reduce homelessness.,Claim,,Big picture,Federal housing assistance,Housing,Coalition for the Homeless
,,"The two largest federal housing programs are public housing and federal housing vouchers, known as Housing Choice Vouchers or Section 8 vouchers.",Claim,Rent public housing and issue housing vouchers to homeless people,Big picture,Housing,Federal housing vouchers,Coalition for the Homeless
,,Housing vouchers allow low-income households to rent modest market-rate housing of their choice and provide a flexible subsidy that adjusts with the family’s income over time,Claim,,Housing vouchers,Housing,Description,Coalition for the Homeless
,,Studies show that public housing and federal housing vouchers are highly successful at reducing family homelessness and in ensuring that these families remain stably housed out of the shelter system.,Claim,Rent public housing and issue housing vouchers to homeless people,Public housing,Public housing,Housing vouchers,Coalition for the Homeless
,,Permanent supportive housing has now proven to be a successful and cost-effective solution to the homelessness crisis.,Claim,Provide additional support on top of housing homeless people,Big picture,Permanent supportive housing,,Coalition for the Homeless
,,"The supportive housing model combines affordable housing assistance with vital support services for individuals living with mental illness, HIV/AIDS or other serious health problems.",Claim,Provide additional support on top of housing homeless people,Supportive housing,,Description,Coalition for the Homeless
,,"Moreover, numerous research studies have shown that permanent supportive housing costs less than other forms of emergency and institutional care.",Claim,Provide additional support on top of housing homeless people,Big picture,Permanent supportive housing,,Coalition for the Homeless
,,"The landmark 1990 City-State “New York/New York Agreement,” which has been renewed twice, is the premier example of a permanent supportive housing initiative that successfully reduced homelessness in New York City and saved taxpayer dollars that would otherwise have been spent on costly shelters and hospitalizations.",Claim,,Big picture,Permanent supportive housing,,Coalition for the Homeless
,,"The “housing first” approach involves moving long-term street homeless individuals — the majority of whom are living with mental illness, substance abuse disorders and other serious health problems — directly into subsidized housing and then linking them to support services, either on-site or in the community.",Claim,House homeless people first before addressing underlying causes,Housing,,,Coalition for the Homeless
,,Research studies have found that the majority of long-term street homeless people moved into “housing first” apartments remain stably housed and experience significant improvements in their health problems,Claim,House homeless people first before addressing underlying causes,Housing,,,Coalition for the Homeless
,,"Much like permanent supportive housing, the “housing first” approach is far less costly than emergency and institutional care, such as shelters, hospitals and correctional facilities.",Claim,House homeless people first before addressing underlying causes,Big picture,Housing First,Housing,Coalition for the Homeless
,,The fundamental cause of homelessness is the widening housing affordability gap.,Claim,There is not enough affordable housing,Big picture,Housing,,Coalition for the Homeless
,,One essential approach to reducing homelessness is to prevent it. Another is to ensure that formerly homeless families and individuals can maintain housing stability.,Claim,,Big picture,Prevention,,Coalition for the Homeless
,,One successful approach <to preventing homelessness> involves eviction-prevention grants to help tenants at risk of becoming homeless pay back rent and remain in their apartments.,Claim,,Housing,Prevention,,Coalition for the Homeless
,,Another successful approach to homelessness prevention involves legal services for low-income tenants in housing court.,Claim,,Housing,Prevention,,Coalition for the Homeless
,,"In New York City, more than 90 percent of tenants in housing court do not have legal representation, while nearly all landlords have lawyers.",Claim,,Big picture,,,Coalition for the Homeless
,,Programs that provide legal representation in housing court for low-income tenants facing eviction have proven to be successful and cost-effective. Most tenants assisted by these legal services programs are able to remain in their homes and avoid the costly shelter system.,Claim,,Housing,Prevention,,Coalition for the Homeless
,,"Effective discharge planning that includes housing assistance can help youth who are aging out of foster care, or low-income people living with mental illness who are leaving hospitals, or people exiting correction institutions, avoid homelessness.",Claim,,Big picture,Effective discharge planning,Housing assistance,Coalition for the Homeless
,,"support services <...> can include services like job training, child care and community-based counseling services.",Claim,,Support,,,Coalition for the Homeless
,,"More fundamentally, enhancing housing stability for poor and low-income renters involves broader policy changes including living-wage jobs; access to affordable health care; and adequate public benefits for people living with disabilities.",Claim,,Housing,,,Coalition for the Homeless
,,"The Fact is the major cause of homelessness is the severe lack of affordable housing, both in New York City and across the United States. By every measure, the housing affordability gap — that is, the gap between incomes and housing costs — has grown dramatically over the past four decades.",Claim,There is not enough affordable housing,Big picture,,Housing,Coalition for the Homeless
,,"The Fact is that people become homeless for many reasons, from loss of a job or lowered wages, to a health care crisis, increased rent, a family emergency, or even landlord bullying.",Claim,,Big picture,Cause,,Coalition for the Homeless
,,"Homelessness is driven by systemic factors like the lack of affordable housing and institutional racism, not personal failings.",Claim,,Big picture,Cause,,Coalition for the Homeless
,,The Fact is the majority of homeless New Yorkers are homeless because they cannot afford housing.,Claim,,Big picture,Housing,,Coalition for the Homeless
,,<In New York> only a small percentage of adults in homeless families have serious mental illnesses and/or substance use disorders.,Claim,,,Health,,Coalition for the Homeless
,,"For homeless single adults and those who are unsheltered, the rates of mental illnesses and substance use disorders are higher.",Claim,,,Health,,Coalition for the Homeless
,,"Phones and the internet are critical to securing and maintaining employment or housing. With ever-advancing technology, it is imperative that this vulnerable group not be left behind.",Claim,,Employment,,,Coalition for the Homeless
,,"Municipal shelters can be very difficult places to live for those people who have languished on the streets for years. Shelters are tight quarters with many rules and regulations, which can be confusing.",Claim,,Big picture,Shelters,,Coalition for the Homeless
,,"Nearly all municipal shelters <New York> for homeless single adults have barracks-style dormitories with as many as 100 beds in a single room, and these arrangements often do not suit the needs of homeless people living with serious mental illnesses like PTSD or mood disorders.",Claim,,Health,Shelters,,Coalition for the Homeless
,,Private market landlords are critical partners in the work to help people quickly exit homelessness.,Claim,,Housing,Landlords,,U.S. Interagency Council on Homelessness
,,"Centralized Hotline
A centralized program, like this one in Washington, offers a single access point for landlords and agencies seeking to connect currently available units to individuals and families holding vouchers and in search of housing. A strong practice includes employing a single 24/7 hotline, so that landlords can reach someone quickly when a unit becomes available or if they need to speak to a staff person because a tenant needs assistance.",Claim,,Housing,Landlords,,U.S. Interagency Council on Homelessness
,,"Housing Search Assistance
Having someone on staff who can outreach to and build relationships with landlords as their primary job function can be a strong asset in landlord engagement. This person, who may be called a housing locator, is usually not a case manager. He or she typically engages in tasks such as negotiating a lease, participating in unit inspections, etc.",Claim,,Housing,Landlords,,U.S. Interagency Council on Homelessness
,,"Risk Mitigation Funds
Mitigation funds are accessed when there is excessive damage done to a unit beyond what the security deposit will pay. <...> just having this added protection in place can be a game changer when asking landlords to rent to someone that they consider “high risk,” such as people with a poor rental history, low or no income, and/or past involvement with the criminal justice system. ",Claim,,Housing,Landlords,Finance,U.S. Interagency Council on Homelessness
,,"Availability of Neutral Mediators
A mediator responds to landlord/tenant concerns and helps to resolve conflicts. Both parties often win in this scenario, as evictions are costly and landlords would often prefer to avoid them. The neutral mediator can be the difference between a housing resolution and homelessness. ",Claim,,Housing,Landlords,,U.S. Interagency Council on Homelessness
,,"Flexible Funds. In many cases, federal subsidies are restricted to certain uses, and vouchers may only cover a portion of expenses associated with connecting a tenant to housing. Flexible funds can be utilized for movers, deposits, rent, or inspections.",Claim,,Housing,Landlords,Finance,U.S. Interagency Council on Homelessness
,,"Landlord and Tenant Education
Providers may offer classes or one-on-one coaching for both landlords and tenants on issues such as rights and responsibilities, fair housing, and financial management. This can often be provided by a HUD approved housing counseling agency. ",Claim,,Housing,Landlords,,U.S. Interagency Council on Homelessness
,,"To end homelessness in America, we must strengthen our ability to prevent it in the first place",Claim,,Big picture,Prevention,,U.S. Interagency Council on Homelessness
,,"Reduce the risk of housing crises. Communities must address the wide range of policies contributing to the availability of, and access to, an adequate supply of safe and affordable housing; health and behavioral health resources; education and meaningful and gainful employment; opportunities for economic mobility; affordable child care; and legal assistance.",Claim,,Prevention,,,U.S. Interagency Council on Homelessness
,,"Individuals or families are often engaged with multiple public systems, such as health and behavioral health care, child welfare, and the juvenile and criminal justice systems, prior to experiencing homelessness.",Claim,Make different institutions coordinate their actions on solving homelessness,Big picture,Coordination,,U.S. Interagency Council on Homelessness
,,"Public systems must work together to increase awareness of and attentiveness to housing stability, as well as strengthen their transition and/or discharge planning activities that link people to other resources, including employment and other economic mobility supports.",Claim,Make different institutions coordinate their actions on solving homelessness,Big picture,Coordination,,U.S. Interagency Council on Homelessness
,,"Communities can also consider policies that increase access to home-visiting programs, family support networks, school-based supports, and other community-based programs that focus on strong families and positive youth development.",Claim,,Big picture,,,U.S. Interagency Council on Homelessness
,,"Family preservation and reunification can also be explored, whenever safe and appropriate, in order to address the disproportionate impact of homelessness on single mothers and youth of color.",Claim,,Groups,,,U.S. Interagency Council on Homelessness
,,"<Target assistance> Family preservation and reunification can also be explored, whenever safe and appropriate, in order to address the disproportionate impact of homelessness on single mothers and youth of color.",Claim,,Big picture,,,U.S. Interagency Council on Homelessness
,,"To end homelessness, we must quickly identify and engage individuals and families that experience it, including people who are sheltered and those who are unsheltered, in locations such as cars, parks, abandoned buildings, encampments, or on the street.",Claim,,Big picture,Outreach,,U.S. Interagency Council on Homelessness
,,"Many individuals experiencing homelessness are disengaged from—and may be distrustful of—public and private programs, agencies, and systems, and they may be reluctant to seek assistance",Claim,,Support,,,U.S. Interagency Council on Homelessness
,,"Helping individuals to overcome these barriers <of distrust based reluctance to seek assistance> often requires significant outreach time and effort, and can take months or even years of proactive and creative engagement to build trust.",Claim,,Outreach,Big picture,,U.S. Interagency Council on Homelessness
,,"Communities can use housing-focused coordinated outreach to people who are unsheltered, in-reach to people in institutional settings, data from multiple systems, and other methods to identify and engage individuals and families experiencing homelessness, in conjunction with coordinated entry processes and other systems.",Claim,,Outreach,Coordination,Data,U.S. Interagency Council on Homelessness
,,"<Communities need the capacity> to identify every individual and family who is unsheltered, in shelter, or in transitional housing settings or other residential programs, and to implement robust efforts to identify at-risk households",Claim,,Big picture,Data,,U.S. Interagency Council on Homelessness
,,"<Communities need the capacity to> coordinate a comprehensive set of strategies that collect information and data from hospitals, jails, schools, the child welfare system, hotlines and 2-1-1, and other community-based programs",Claim,Make different institutions coordinate their actions on solving homelessness,Data,Coordination,,U.S. Interagency Council on Homelessness
